year,Dominican Rep.,Mexico,Philippines,Greece,Japan,United States of America,Uruguay,Italy,Ethiopia,Guatemala,Venezuela,Switzerland,Jordan,Spain,Brazil,Egypt,Argentina,Lebanon,Ireland,Turkey,Paraguay,Iran,United Kingdom,Colombia,Bolivia,Nicaragua,Netherlands,Belgium,Canada,Australia,Pakistan,Zambia,Sweden,Costa Rica,Cambodia,Israel,Poland,Taiwan,Panama,Kuwait,Austria,Czechoslovakia,India,France,Brunei,Zaire,Portugal,Algeria,El Salvador,Thailand,Haiti,Sudan,Morocco,Cyprus,Myanmar,Afghanistan,Peru,Chile,Honduras,Yugoslavia,Ecuador,New Zealand,Malaysia,Singapore,Botswana,Jamaica,Chad,Andorra,Syria,South Korea,United Arab Emirates,South Africa,Kenya,Iraq,Somalia,Tanzania,Sri Lanka,Namibia,Bahamas,Nigeria,Barbados,Trinidad and Tobago,Bangladesh,Angola,Mauritania,Saudi Arabia,Djibouti,Indonesia,Malta,Rhodesia,Denmark,Western Sahara,Guyana,Mozambique,Tunisia,Uganda,Norway,Lesotho,Gabon,Libya,Bahrain,Hong Kong,Senegal,Zimbabwe,Guinea,Grenada,New Hebrides,Belize,Guadeloupe,Martinique,Vatican City,Albania,Central African Republic,Seychelles,Dominica,Qatar,Bulgaria,Suriname,Swaziland,Luxembourg,Iceland,French Guiana,Falkland Islands,Burkina Faso,New Caledonia,Romania,Niger,Nepal,Togo,Finland,Fiji,Ghana,Maldives,Mauritius,Hungary,Laos,Papua New Guinea,China,Liberia,Congo,Mali,Rwanda,Sierra Leone,Cameroon,Cuba,Croatia,Georgia,Azerbaijan,Madagascar,Lithuania,Burundi,Ukraine,Moldova,Armenia,Russia,Côte d'Ivoire,Kazakhstan,Antigua and Barbuda,Bosnia and Herz.,Eq. Guinea,Tajikistan,Malawi,Uzbekistan,Latvia,Estonia,Comoros,Benin,Slovakia,Macedonia,Wallis and Futuna,Belarus,Czechia,Slovenia,Gambia,North Korea,Eritrea,St. Kitts and Nevis,French Polynesia,Macau,Kyrgyzstan,Vanuatu,Dem. Rep. Congo,Kosovo,Solomon Is.,Timor-Leste,St. Lucia,Guinea-Bissau,Montenegro,International,Turkmenistan,Serbia-Montenegro,Bhutan,Serbia,S. Sudan,Germany,Yemen,Palestine,Vietnam,Soviet Union
1970,2,2,10,3,2,468,33,3,3,4,2,3,9,4,6,1,21,1,1,12,1,5,12,1,1,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
1971,3,0,4,1,0,247,8,3,1,1,4,1,5,22,3,1,7,1,1,35,0,11,81,0,2,0,1,0,0,1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0
1972,0,1,7,2,0,68,7,4,0,0,1,3,7,19,3,1,20,3,5,9,0,15,292,2,0,0,1,4,4,8,0,0,3,0,2,15,0,0,1,1,7,1,1,11,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,1,0
1973,3,6,0,11,2,58,0,15,1,0,4,2,1,21,2,0,60,11,3,0,0,4,189,6,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,14,0,1,1,0,1,0,1,1,2,3,1,1,3,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
1974,2,16,1,6,3,94,0,22,4,1,3,3,0,14,0,0,71,11,3,1,0,11,203,0,1,1,2,5,1,1,2,0,0,0,0,12,0,0,0,1,1,0,0,29,0,0,0,0,3,1,2,0,0,0,0,0,3,0,0,1,3,0,0,1,1,2,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0
1975,0,10,4,4,12,149,0,7,4,5,5,3,0,136,0,0,38,15,7,10,0,13,194,10,0,1,4,0,0,0,2,1,1,0,0,2,0,0,0,1,2,0,1,39,0,0,4,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
1976,0,20,10,21,1,105,0,173,5,13,4,4,1,50,5,0,54,4,5,35,1,4,194,22,1,0,3,1,0,0,3,0,0,12,0,2,0,1,2,1,4,0,1,58,0,0,15,1,13,0,0,0,1,0,2,0,0,2,0,0,2,0,0,0,0,1,0,0,2,0,0,1,2,3,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0
1977,0,19,2,47,4,130,0,308,4,8,3,4,0,147,1,1,17,4,3,189,0,5,140,80,1,5,6,1,0,0,0,1,0,5,0,6,0,0,0,0,5,0,1,53,0,1,15,0,6,3,0,0,0,1,0,0,4,6,0,1,7,0,2,0,0,0,0,0,3,0,1,15,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0
1978,1,30,36,39,35,87,0,277,2,29,7,3,0,209,5,2,25,12,3,52,0,27,100,158,3,76,3,8,0,2,2,3,1,2,1,23,0,0,0,1,1,0,0,59,0,0,4,1,91,5,0,0,1,2,0,0,4,8,0,0,11,0,0,0,0,0,0,0,1,0,1,9,1,0,0,0,0,8,0,0,0,0,0,2,0,0,0,2,0,19,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,4,0,1
1979,2,10,50,9,16,69,0,209,4,60,4,6,0,279,6,1,16,38,8,141,0,82,239,140,14,206,3,8,0,2,7,1,1,2,0,130,1,0,4,0,5,0,20,212,0,0,15,1,326,16,0,0,2,5,19,3,3,49,6,0,2,0,1,0,0,2,0,0,28,0,2,16,0,2,0,1,3,31,0,0,0,1,1,3,0,1,1,0,0,51,3,0,2,5,1,8,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,22,0,0
